data,ora,Lat N,Long E,prof (km),Md
09/07/20,00.48.42.23,37.65,15.146,2.22,1.5
07/01/14,17.57.41.64,37.713,15.017,1.65,2.3
08/06/29,07.01.13.37,37.824,15.129,-1.58,3.2
11/12/26,17.56.34.36,37.821,15.069,0.38,1.7
02/07/10,03.25.51.31,37.731,15.108,5.47,1.1
08/09/30,00.07.40.14,37.752,15.067,4.36,1.3
03/03/09,08.32.58.39,37.682,15.107,4.98,2.7
07/01/14,08.57.33.00,37.707,15.035,0.37,3.3
08/05/06,12.33.52.83,37.616,14.905,5.8,2.6
07/01/13,12.15.40.24,37.711,14.935,1.69,1.8
07/01/17,13.40.19.25,37.709,15.006,-1.43,3.3
07/01/14,01.55.08.91,37.722,15.018,1.6,1.4
02/07/08,19.58.22.48,37.605,14.997,4.03,1.8
07/01/13,00.47.39.06,37.718,15.016,3.84,2.2
11/11/17,17.46.16.23,37.74,15.062,3.88,1.0
04/10/03,00.05.12.69,37.801,15.038,0.12,3.5
08/16/28,03.44.58.94,37.800,15.038,-0.03,1.2
09/07/27,13.19.19.97,37.714,15.076,2.06,1.8
11/07/11,23.13.37.38,37.709,15.024,2.15,1.2
04/07/30,21.58.13.50,37.694,15.082,3.58,1.2
08/00/04,16.52.58.92,37.719,15.043,1.49,1.7
05/12/20,12.19.25.29,37.798,15.061,0.17,1.2
06/12/27,22.38.57.70,37.724,15.089,5.07,3.2
04/01/25,19.43.56.24,37.735,15.043,4.59,1.6
05/08/13,10.07.47.72,37.771,15.005,-0.66,3.2
08/12/24,17.07.44.35,37.805,15.037,-0.39,1.8
04/04/06,07.48.55.05,37.698,15.071,3.91,2.4
05/10/16,23.45.40.63,37.743,15.058,3.32,1.5
10/12/06,11.03.24.22,37.742,15.045,4.54,3.0
04/01/14,00.33.59.69,37.717,15.005,4.23,1.5
06/01/23,15.08.18.28,37.704,15.072,1.96,2.0
05/08/25,20.56.42.87,37.693,15.107,1.15,2.0
07/01/17,19.13.25.01,37.71,15.065,2.62,2.6
02/01/14,16.53.43.72,37.716,15.006,4.15,1.6
12/15/18,11.01.43.92,37.800,15.026,0.26,1.3
06/11/14,15.25.27.48,37.755,14.991,2.95,1.6
10/05/24,04.20.55.63,37.69,15.076,1.62,1.6
12/03/20,03.02.19.11,37.73,15.086,5.48,1.7
07/10/11,13.50.39.82,37.833,15.122,2.1,1.9
06/04/25,04.09.30.58,37.747,15.103,7.75,1.6
06/12/14,02.40.31.66,37.744,15.052,4.42,1.8
07/15/25,20.01.22.23,37.667,15.151,3.55,1.4
06/11/19,02.32.46.88,37.742,15.009,1.8,1.5
04/01/23,22.26.42.76,37.738,14.959,6.74,2.8
07/03/25,00.23.43.03,37.734,15.091,5.27,2.4
12/12/04,15.39.23.69,37.655,15.155,1.42,2.0
01/14/24,03.22.05.94,37.696,14.982,2.9,1.8
07/01/13,07.49.13.33,37.697,15.063,2.44,2.6
02/10/08,05.19.37.44,37.704,15.109,5.9,1.9
05/09/27,19.37.03.39,37.734,15.118,0.01,2.6
10/02/29,10.04.41.27,37.673,15.112,2.05,3.1
05/16/18,00.10.03.27,37.759,14.999,0.78,1.9
01/07/27,06.31.00.40,37.722,15.09,4.66,1.2
07/06/28,20.55.42.47,37.738,15.096,4.38,1.0
07/01/13,00.07.28.17,37.715,15.016,1.12,2.5
10/16/08,19.46.32.84,37.641,14.994,-0.59,2.0
10/10/04,09.55.56.61,37.74,14.998,1.61,1.2
11/00/07,06.41.07.98,37.731,15.034,4.07,1.6
12/14/08,01.37.03.11,37.813,15.065,-1.57,1.4
06/06/14,02.48.59.77,37.741,15.052,4.77,1.0
07/01/14,10.02.32.60,37.727,15.013,2.51,2.3
04/10/28,01.45.46.51,37.678,15.089,2.62,2.1
03/01/04,18.48.00.57,37.728,15.016,1.47,1.8
11/02/19,08.41.30.70,37.806,15.085,0.11,2.6
07/01/15,18.49.53.83,37.691,15.004,0.53,2.8
07/01/14,08.54.08.75,37.709,15.042,1.36,3.5
07/03/17,10.06.16.11,37.813,15.115,2.41,2.2
04/09/03,15.49.27.14,37.799,15.04,-0.1,1.4
05/08/05,10.53.35.67,37.827,15.059,-1.28,1.9
02/15/28,08.15.34.48,37.675,15.109,5.32,1.3
02/04/10,19.59.38.28,37.806,15.092,0.03,2.9
07/01/12,23.06.55.95,37.719,15.024,0.81,2.7
07/02/10,19.01.04.95,37.642,15.068,4.38,2.6
10/15/09,00.35.29.54,37.728,15.115,6.59,2.9
10/09/25,02.06.57.25,37.794,15.054,1.92,1.8
01/09/02,12.21.12.48,37.584,15.048,9.12,1.9
08/07/05,10.07.50.19,37.728,15.05,3.25,1.5
04/08/29,03.33.13.49,37.631,15.02,-0.6,1.2
03/05/12,18.54.53.52,37.747,15.,1.03,2.5
07/10/01,11.01.41.51,37.725,15.07,5.1,1.6
02/10/04,19.35.38.82,37.751,15.005,1.71,1.4
02/04/15,02.02.03.56,37.739,15.089,5.87,2.0
06/10/03,19.18.27.54,37.733,15.092,3.62,1.3
07/16/04,17.35.36.16,37.825,15.115,-0.31,1.9
08/05/10,10.59.55.86,37.753,15.04,5.81,1.4
07/01/16,13.57.09.29,37.709,15.015,-1.53,3.2
05/10/22,04.23.44.27,37.637,14.977,9.25,1.9
11/07/03,18.53.46.92,37.754,15.079,6.25,1.7
02/10/04,23.34.30.81,37.757,15.008,1.91,1.2
11/05/10,02.40.23.36,37.627,14.894,5.81,2.3
03/12/15,05.33.21.52,37.693,15.072,2.28,2.4
09/05/08,07.23.43.26,37.726,15.076,1.8,1.0
07/03/08,22.26.44.94,37.71,15.099,5.71,2.0
09/10/03,01.56.39.50,37.74,15.085,5.7,2.3
07/04/14,11.11.18.21,37.747,15.1,5.89,1.6
08/01/30,16.18.05.24,37.657,15.092,2.37,2.9
11/02/03,05.35.14.27,37.733,15.046,1.87,2.1
05/07/10,01.46.08.59,37.69,14.98,3.78,1.7
10/10/03,09.41.58.92,37.753,15.008,1.17,1.3
05/01/30,03.27.44.49,37.679,15.057,5.49,2.4
05/06/01,14.26.49.39,37.669,15.167,3.23,2.2
10/10/23,22.18.02.80,37.753,15.008,1.47,1.4
12/14/23,21.37.31.64,37.752,15.08,2.07,0.9
07/09/01,01.23.08.66,37.669,15.139,0.1,3.0
05/05/03,21.26.36.79,37.682,15.166,3.29,2.1
08/06/15,09.48.09.43,37.747,15.05,3.51,1.5
08/06/22,07.31.52.71,37.731,15.147,7.96,2.2
07/01/15,16.46.12.62,37.714,15.003,-1.4,2.3
10/10/06,00.24.36.26,37.814,15.118,0.9,2.6
07/01/13,03.45.13.54,37.708,15.043,1.23,2.7
10/02/26,22.17.57.22,37.749,14.985,1.76,2.3
07/01/13,02.34.09.70,37.704,15.043,1.2,2.6
02/07/19,21.25.22.66,37.709,15.069,3.79,1.6
08/15/17,02.18.26.41,37.746,15.048,2.37,1.2
08/04/28,04.46.04.49,37.742,15.059,4.33,1.2
07/03/08,04.09.05.65,37.693,15.077,4.35,1.6
07/01/13,02.32.06.02,37.704,15.038,1.02,2.4
02/16/25,14.42.12.49,37.688,15.134,7.14,2.6
04/07/14,16.01.03.74,37.741,15.077,4.16,1.2
06/02/15,00.41.42.30,37.689,15.084,4.61,2.2
07/01/12,23.10.25.63,37.717,15.022,0.93,2.6
07/06/28,20.50.08.67,37.725,15.104,1.94,1.2
03/16/20,22.04.07.26,37.804,15.044,0.41,1.5
08/12/13,01.28.54.36,37.649,15.063,7.49,1.9
07/03/30,15.42.24.68,37.698,15.097,6.35,2.2
10/02/29,10.17.37.50,37.749,15.134,2.55,2.5
04/10/23,23.07.54.74,37.707,15.134,2.75,1.8
10/14/07,22.12.54.87,37.808,15.059,-0.28,1.3
03/09/25,22.25.24.60,37.726,15.095,5.34,2.5
09/04/19,21.56.16.18,37.752,15.121,5.77,1.6
05/08/13,13.55.11.84,37.772,15.001,0.12,2.4
11/16/01,13.56.38.06,37.621,14.964,1.22,1.5
02/02/28,01.11.19.19,37.737,15.116,4.27,1.9
09/08/28,06.48.40.49,37.648,14.95,5.14,1.6
11/12/01,07.51.56.84,37.771,15.175,8.71,1.6
05/12/30,13.25.41.15,37.687,15.105,8.14,1.5
10/02/29,09.56.49.59,37.685,15.113,1.73,2.0
04/08/19,01.34.45.16,37.727,15.078,5.42,1.5
10/04/15,15.50.08.56,37.689,15.093,5.42,1.8
12/06/08,03.37.54.85,37.693,15.119,6.08,1.4
07/04/22,02.11.27.45,37.705,15.082,2.79,3.4
04/04/14,10.01.48.17,37.738,15.074,3.62,1.9
06/05/19,14.21.20.66,37.729,15.096,5.2,1.5
07/01/14,02.09.32.05,37.712,15.035,2.16,2.0
02/11/27,23.25.58.16,37.723,15.138,8.77,2.1
10/02/27,15.51.07.70,37.827,15.066,2.38,3.0
07/10/15,19.55.22.65,37.752,15.094,6.02,1.3
04/10/26,05.37.34.53,37.8,15.04,0.18,1.3
09/03/11,03.30.44.59,37.736,15.088,4.51,1.5
05/05/29,04.30.13.72,37.708,15.145,2.03,2.0
12/10/25,03.10.54.44,37.696,15.064,3.46,1.3
02/15/28,08.12.47.19,37.673,15.111,5.09,1.4
07/04/22,01.40.58.97,37.735,15.076,5.85,1.4
12/13/11,22.48.18.44,37.806,15.223,9.81,1.5
09/08/19,20.40.33.14,37.684,15.036,4.59,1.0
01/04/15,21.04.39.56,37.725,15.074,4.8,1.2
01/05/21,13.43.00.06,37.716,15.135,1.87,3.0
10/12/14,03.50.12.31,37.714,14.907,3.07,1.4
05/10/03,00.03.18.42,37.726,15.088,4.12,1.1
07/01/13,12.33.42.78,37.708,15.052,0.28,3.1
09/08/25,01.33.45.26,37.742,15.157,7.64,1.9
07/13/31,21.02.40.43,37.738,15.147,8.59,2.5
11/12/10,15.50.03.45,37.739,15.047,4.37,1.3
07/01/13,00.02.07.21,37.744,15.004,1.89,1.6
10/15/30,18.01.05.92,37.659,15.098,8.68,2.1
08/05/07,20.15.31.16,37.736,15.088,6.78,1.4
10/16/23,21.39.03.81,37.741,15.071,3.55,1.2
04/06/03,16.05.04.05,37.681,15.062,8.73,2.4
03/09/14,09.40.00.57,37.733,15.092,4.99,2.0
06/03/12,16.10.35.98,37.682,15.068,3.83,1.5
04/10/30,20.35.34.96,37.742,15.05,3.83,1.5
10/02/29,11.20.06.39,37.708,15.068,1.74,1.9
07/09/16,20.58.23.08,37.664,15.058,2.99,1.6
08/01/21,09.20.57.35,37.709,15.079,3.97,2.7
03/15/04,12.30.55.63,37.744,15.111,7.88,2.7
03/06/04,16.45.32.69,37.728,15.073,4.4,1.6
09/09/03,20.22.05.85,37.803,15.049,-0.49,1.9
03/12/15,05.51.32.10,37.694,15.073,2.24,2.2
11/02/11,20.04.23.42,37.796,15.044,3.88,2.7
02/06/26,23.24.39.09,37.75,15.041,2.35,1.2
08/06/03,19.16.14.23,37.754,15.109,6.82,1.4
12/10/30,22.20.16.08,37.683,15.037,4.03,1.4
03/16/09,21.27.39.33,37.736,15.103,3.7,0.8
08/12/27,21.47.27.13,37.688,14.935,0.,1.4
08/03/22,23.21.34.10,37.802,15.057,3.82,2.5
11/02/24,08.45.46.61,37.79,15.091,1.21,2.6
07/09/18,15.17.10.60,37.805,15.074,-1.59,2.4
05/08/13,08.39.45.08,37.751,15.01,1.22,1.2
11/07/02,20.19.54.30,37.753,15.088,6.53,1.8
07/01/16,15.09.15.35,37.709,15.089,3.79,2.9
07/15/16,05.19.13.61,37.756,15.034,3.81,1.3
09/10/02,18.49.42.75,37.734,15.07,2.49,1.1
07/01/13,06.47.46.79,37.711,15.021,1.97,2.4
