data,ora,Lat N,Long E,prof (km),Md
12/08/25,03.40.04.97,37.809,15.086,-0.48,1.7
03/13/12,13.10.32.96,37.751,14.994,-0.48,1.3
08/01/02,00.30.03.12,37.715,15.034,-0.47,1.6
06/08/13,00.24.08.52,37.751,14.991,-0.47,1.6
07/08/04,03.33.35.17,37.743,15.122,-0.47,2.1
10/02/27,00.23.49.63,37.749,15.01,-0.46,2.5
04/10/11,21.05.07.86,37.802,15.036,-0.46,2.4
07/01/13,22.27.09.71,37.689,15.055,-0.45,2.8
07/01/16,04.00.10.51,37.717,15.005,-0.45,3.1
07/01/16,23.19.50.38,37.715,15.005,-0.45,3.6
08/02/16,06.01.03.72,37.748,15.007,-0.45,1.2
04/10/12,17.50.25.18,37.801,15.038,-0.45,1.5
01/01/07,22.30.05.36,37.691,14.947,-0.44,2.5
07/01/16,13.45.12.94,37.712,15.009,-0.44,2.7
06/08/29,18.24.38.70,37.739,15.127,-0.44,2.1
11/15/07,14.53.55.99,37.805,15.056,-0.44,1.0
05/08/13,11.19.53.16,37.769,15.001,-0.43,2.3
04/10/02,21.28.39.53,37.807,15.061,-0.41,2.5
07/01/13,07.31.12.49,37.715,15.019,-0.4,2.5
05/07/24,03.19.10.65,37.672,15.203,-0.4,1.0
07/07/07,10.51.39.24,37.68,15.149,-0.4,1.0
01/08/26,22.48.57.23,37.625,15.139,-0.4,1.2
02/01/24,01.14.13.84,37.677,14.926,-0.39,2.9
01/02/01,13.16.08.49,37.75,14.998,-0.39,1.8
10/08/14,04.27.09.60,37.809,15.125,-0.39,2.6
02/10/05,15.40.12.95,37.807,15.069,-0.39,2.0
08/12/24,17.07.44.35,37.805,15.037,-0.39,1.8
07/01/13,12.48.44.01,37.701,15.055,-0.38,2.8
07/01/15,12.26.58.76,37.729,15.007,-0.38,2.6
09/01/03,17.11.59.58,37.721,14.911,-0.38,2.2
06/04/02,02.59.23.60,37.817,15.048,-0.38,2.2
05/08/03,22.57.06.37,37.816,15.057,-0.38,1.7
08/09/25,16.58.02.48,37.808,15.107,-0.38,3.3
10/10/04,09.11.14.65,37.803,15.124,-0.38,2.3
07/16/06,01.31.19.26,37.811,15.121,-0.38,2.3
06/07/27,02.02.12.02,37.771,15.167,-0.37,1.2
09/09/03,16.24.01.64,37.639,15.07,-0.37,1.5
10/01/07,04.33.39.45,37.686,15.006,-0.36,1.8
02/08/14,23.55.25.63,37.816,15.11,-0.36,1.8
01/15/28,05.46.00.84,37.813,15.056,-0.36,2.0
03/02/10,17.52.27.74,37.699,14.922,-0.35,1.5
05/08/15,19.19.20.10,37.829,14.925,-0.35,2.0
04/10/03,00.02.31.89,37.8,15.048,-0.35,2.6
07/01/12,22.34.14.01,37.741,15.009,-0.34,2.3
07/01/18,00.20.59.24,37.706,15.011,-0.34,3.0
07/01/23,20.42.34.22,37.64,15.125,-0.34,2.6
08/12/24,17.25.02.38,37.748,14.998,-0.34,1.5
02/08/15,09.34.35.67,37.809,15.107,-0.33,3.2
04/10/20,16.18.46.54,37.802,15.045,-0.33,1.7
04/11/27,02.59.08.41,37.802,15.051,-0.33,1.4
07/01/14,03.17.58.24,37.695,15.037,-0.32,2.8
08/01/21,23.15.05.27,37.686,15.013,-0.32,2.3
06/04/01,19.49.23.65,37.814,15.046,-0.32,1.9
02/13/13,13.26.01.70,37.746,15.004,-0.32,1.8
01/01/07,05.22.27.16,37.696,14.962,-0.31,2.3
05/02/31,02.45.54.71,37.612,14.988,-0.31,2.0
07/04/24,02.06.53.45,37.81,15.123,-0.31,2.0
07/16/04,17.35.36.16,37.825,15.115,-0.31,1.9
07/09/09,21.23.22.46,37.8,15.035,-0.3,1.4
07/09/24,23.28.52.42,37.82,15.068,-0.3,2.2
07/01/13,01.31.40.99,37.716,15.02,-0.29,2.5
07/01/14,01.09.16.90,37.709,15.052,-0.29,1.5
08/12/19,18.41.46.57,37.733,15.01,-0.29,0.9
09/15/30,14.48.02.81,37.812,15.056,-0.29,0.6
12/16/25,03.35.47.37,37.740,14.997,-0.29,1.3
06/08/29,18.32.09.32,37.741,15.124,-0.28,2.2
07/09/13,23.11.20.46,37.674,15.209,-0.28,1.4
07/09/22,08.14.54.30,37.801,15.041,-0.28,1.5
12/12/07,14.59.05.20,37.795,15.058,-0.28,1.6
10/14/07,22.12.54.87,37.808,15.059,-0.28,1.3
04/08/09,12.13.49.19,37.81,15.068,-0.27,1.2
07/01/17,15.18.53.16,37.714,15.006,-0.26,3.2
05/09/31,01.56.26.33,37.804,15.048,-0.26,1.5
11/07/14,00.30.33.86,37.811,15.056,-0.25,1.6
02/08/14,22.58.08.24,37.811,15.098,-0.25,2.8
